Year;Bulgaria;EU;USA;World
2022;15.33;8.83;8.00;8.27
2021;3.30;2.55;4.70;3.48
2020;1.67;0.48;1.23;1.93
2019;3.10;1.63;1.81;2.21
2018;2.81;1.74;2.44;2.44
2017;2.06;1.43;2.13;2.19
2016;-0.80;0.18;1.26;1.55
2015;-0.10;-0.06;0.12;1.43
2014;-1.42;0.20;1.62;2.35
2013;0.89;1.22;1.46;2.62
2012;2.95;2.66;2.07;3.73
2011;4.22;3.29;3.16;4.82
2010;2.44;1.53;1.64;3.35
2009;2.75;0.84;-0.36;2.94
2008;12.35;4.16;3.84;8.95
2007;8.40;2.51;2.85;4.82
2006;7.26;2.67;3.23;4.28
2005;5.04;2.49;3.39;4.11
2004;6.15;2.29;2.68;3.38
2003;2.35;2.09;2.27;3.03
2002;5.81;2.42;1.59;2.83
2001;7.36;3.37;2.83;3.84
2000;10.32;3.15;3.38;3.49
1999;2.57;2.16;2.19;3.08
1998;18.67;2.42;1.55;5.11
1997;1,058.37;3.11;2.34;5.57
1996;121.61;3.56;2.93;6.55
1995;62.05;4.43;2.81;9.15
1994;96.06;4.72;2.61;10.32
1993;72.88;4.85;2.95;7.51
1992;91.30;6.22;3.03;7.71
1991;338.45;5.48;4.23;9.00
1990;23.80;6.15;5.40;8.13
1989;6.39;6.26;4.83;7.00
1988;2.37;4.54;4.08;7.15
1987;2.73;4.02;3.66;5.76
1986;2.70;3.68;1.90;5.82